# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug 18 04:34:30 2021
#
# CONSTRAINT:  where (ismostprecise = 1
# CONSTRAINT:  and transitduration < 8
# CONSTRAINT:  and transitdepthcalc > 0.4)
#
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN fractionobservable: Event Fraction Observable
#
planetname,ra_str,ra,dec_str,dec,obsname,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable
CoRoT-23 b,18h39m07.84s,279.782659,04d21m27.91s,4.357752,,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,Transit Ephemeris,1,1,0.000000,3.631300,3.888000,,0.449157,0,08/18/2021 11:45,0.114900,,,,
CoRoT-25 b,18h42m31.12s,280.629656,06d30m49.76s,6.513822,,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,Transit Ephemeris,1,1,0.000000,4.860690,1.920000,,0.869810,0,08/20/2021 03:03,0.060920,,,,
CoRoT-26 b,18h39m00.12s,279.750499,06d58m11.22s,6.969783,,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,Transit Ephemeris,1,1,0.000000,4.204740,5.470000,,0.523246,0,08/20/2021 10:10,0.058750,,,,
CoRoT-27 b,18h33m59.00s,278.495832,05d32m18.17s,5.538381,,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,Transit Ephemeris,1,1,0.000000,3.575320,2.770000,,0.918084,0,08/19/2021 01:33,0.063040,,,,
GJ 436 b,11h42m12.13s,175.550536,26d42m11.04s,26.703067,,<a refstr=PONT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009MNRAS.393L...6P/abstract target=ref>Pont et al. 2009</a>,Transit Ephemeris,0,1,0.000000,2.643890,0.760800,,0.689652,0,08/20/2021 10:40,0.000080,,,,
EPIC 246851721 b,05h15m40.76s,78.919820,16d16m43.32s,16.278699,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,Transit Ephemeris,1,1,0.000000,6.180235,4.108100,0.464000,0.463735,0,08/20/2021 18:01,0.003684,,,,
HAT-P-28 b,00h52m00.22s,13.000916,34d43m42.25s,34.728402,,<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>,Transit Ephemeris,1,1,0.000000,3.257215,3.218400,1.471900,1.275044,0,08/20/2021 06:34,0.009189,,,,
HAT-P-15 b,04h24m59.55s,66.248142,39d27m38.17s,39.460602,,<a refstr=KOVACS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...724..866K/abstract target=ref> Kovacs et al. 2010 </a>,Transit Ephemeris,0,1,0.000000,10.863502,5.484000,,1.040430,0,08/24/2021 14:12,0.012441,,,,
HAT-P-24 b,07h15m18.03s,108.825117,14d15m45.38s,14.262606,,<a refstr=KJURKCHIEVA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016BlgAJ..24..101K/abstract target=ref>Kjurkchieva et al. 2016</a>,Transit Ephemeris,0,1,0.000000,3.355246,3.672000,1.086000,1.046453,0,08/21/2021 10:37,0.000000,,,,
HAT-P-49 b,20h21m45.92s,305.441329,26d41m33.63s,26.692676,,<a refstr=BIERYLA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147...84B/abstract target=ref> Bieryla et al. 2014 </a>,Transit Ephemeris,0,1,0.000000,2.691548,4.108800,,0.627524,0,08/19/2021 22:57,0.007422,,,,
HAT-P-50 b,07h52m15.23s,118.063438,12d08m21.65s,12.139347,,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.122011,3.674400,,0.607613,0,08/18/2021 21:14,0.006938,,,,
HAT-P-51 b,01h24m15.63s,21.065125,32d48m38.52s,32.810700,,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,Transit Ephemeris,1,1,0.000000,4.218028,3.367200,,1.629170,0,08/19/2021 17:19,0.004949,,,,
HAT-P-53 b,01h27m29.06s,21.871101,38d58m05.21s,38.968114,,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>,Transit Ephemeris,1,1,0.000000,1.961624,2.793600,,1.255016,0,08/20/2021 04:23,0.007632,,,,
HAT-P-55 b,17h37m05.64s,264.273510,25d43m52.13s,25.731147,,<a refstr=JUNCHER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015PASP..127..851J/abstract target=ref>Juncher et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.585247,2.935200,,1.443456,0,08/21/2021 22:50,0.005121,,,,
HAT-P-56 b,06h43m23.52s,100.848014,27d15m07.86s,27.252182,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,Transit Ephemeris,0,1,0.000000,2.790882,2.190000,0.944000,0.946365,0,08/21/2021 06:10,0.000000,,,,
HAT-P-36 b,12h33m03.89s,188.266205,44d54m55.32s,44.915367,,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,Transit Ephemeris,0,1,0.000000,1.327347,2.232500,1.588000,1.583985,0,08/18/2021 12:23,0.000832,,,,
HAT-P-39 b,07h35m01.98s,113.758253,17d49m48.10s,17.830028,,<a refstr=HARTMAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....144..139H/abstract target=ref> Hartman et al. 2012 </a>,Transit Ephemeris,1,1,0.000000,3.543870,4.188000,0.999000,0.986999,0,08/20/2021 17:15,0.006390,,,,
HAT-P-41 b,19h49m17.44s,297.322652,04d40m20.68s,4.672412,,<a refstr=HARTMAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....144..139H/abstract target=ref> Hartman et al. 2012 </a>,Transit Ephemeris,0,1,0.000000,2.694047,4.089600,0.771000,1.058528,0,08/18/2021 16:53,0.007694,,,,
HATS-25 b,13h51m37.84s,207.907675,-23d46m52.47s,-23.781240,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,4.298643,3.204000,,1.368097,0,08/18/2021 18:09,0.003206,,,,
HATS-26 b,09h39m42.45s,144.926859,-28d35m08.16s,-28.585600,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,3.302388,5.215200,,0.777117,0,08/20/2021 02:07,0.007136,,,,
HATS-27 b,12h54m12.59s,193.552460,-46d35m15.78s,-46.587716,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,4.637038,4.831200,,0.784793,0,08/18/2021 17:37,0.008394,,,,
HATS-28 b,18h57m35.94s,284.399762,-49d08m18.65s,-49.138513,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,3.181078,2.354400,,1.770996,0,08/19/2021 00:58,0.003416,,,,
HATS-29 b,19h00m23.16s,285.096517,-54d53m36.03s,-54.893341,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,4.605875,3.211200,,1.435443,0,08/18/2021 22:26,0.003681,,,,
HATS-30 b,00h22m28.45s,5.618525,-59d56m33.32s,-59.942589,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,Transit Ephemeris,1,1,0.000000,3.174352,2.750400,,1.295137,0,08/18/2021 21:52,0.002666,,,,
HATS-31 b,12h46m48.68s,191.702821,-24d25m38.60s,-24.427390,,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,Transit Ephemeris,1,1,0.000000,3.377960,4.593600,,0.812223,0,08/19/2021 19:50,0.009932,,,,
HATS-32 b,23h04m18.02s,346.075086,-21d16m19.26s,-21.272017,,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.812655,2.853600,,1.368934,0,08/20/2021 18:57,0.006952,,,,
HATS-34 b,00h03m05.88s,0.774487,-62d28m09.54s,-62.469317,,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.106161,1.555200,,2.248489,0,08/20/2021 01:58,0.007025,,,,
HATS-35 b,19h46m45.23s,296.688442,-63d33m56.34s,-63.565649,,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.820999,3.117600,,1.102201,0,08/19/2021 02:44,0.002575,,,,
HATS-36 b,19h25m54.89s,291.478701,-23d12m10.15s,-23.202818,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,Transit Ephemeris,0,1,0.000000,4.175239,3.462700,1.400000,1.207371,0,08/21/2021 12:14,0.001185,,,,
HATS-37 A b,13h19m12.44s,199.801830,-22d59m12.64s,-22.986843,,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200707135J/abstract target=ref>Jord&aacute;n et al. 2020</a>,Transit Ephemeris,1,1,0.000000,4.331537,2.913600,,0.504216,0,08/22/2021 16:53,0.001865,,,,
HATS-39 b,07h29m40.61s,112.419225,-29d56m16.50s,-29.937916,,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit Ephemeris,1,1,0.000000,4.577635,3.732000,,0.990613,0,08/21/2021 23:04,0.003952,,,,
HAT-P-57 b,18h18m58.42s,274.743418,10d35m49.91s,10.597197,,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..197H/abstract target=ref>Hartman et al. 2015</a>,Transit Ephemeris,0,1,0.000000,2.465295,3.498700,,0.937071,0,08/18/2021 12:07,0.006102,,,,
HAT-P-58 b,04h35m23.16s,68.846509,56d52m05.77s,56.868269,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,4.013838,4.150000,,0.800380,0,08/21/2021 16:47,0.001803,,,,
HAT-P-59 b,19h29m50.12s,292.458821,62d31m45.08s,62.529189,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,4.141977,2.339000,,1.093074,0,08/20/2021 10:28,0.000450,,,,
HAT-P-60 b,01h53m07.82s,28.282572,52d03m14.12s,52.053921,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,4.794781,5.035000,,0.581994,0,08/22/2021 20:32,0.001105,,,,
HAT-P-61 b,05h01m55.24s,75.480166,50d07m52.24s,50.131178,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,1.902313,1.658000,,0.970029,0,08/18/2021 20:23,0.001115,,,,
HAT-P-62 b,04h58m01.05s,74.504382,48d18m03.08s,48.300855,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,2.645323,3.103000,,0.888175,0,08/19/2021 18:35,0.003872,,,,
HAT-P-63 b,18h39m11.22s,279.796770,-20d01m27.37s,-20.024268,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,3.377728,2.933000,,1.416729,0,08/20/2021 01:00,0.012321,,,,
HAT-P-64 b,04h35m53.85s,68.974395,02d25m52.58s,2.431273,,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,Transit Ephemeris,1,1,0.000000,4.007232,4.925000,,1.017422,0,08/20/2021 00:33,0.001349,,,,
HAT-P-65 b,21h03m37.32s,315.905489,11d59m21.72s,11.989367,,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.605455,4.365600,,1.090357,0,08/20/2021 19:02,0.004075,,,,
HAT-P-66 b,10h02m17.43s,150.572626,53d57m02.97s,53.950824,,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.972086,4.699200,,0.754549,0,08/19/2021 18:06,0.004915,,,,
HAT-P-67 b,17h06m26.57s,256.610728,44d46m36.79s,44.776885,,<a refstr=ZHOU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..211Z/abstract target=ref>Zhou et al. 2017</a>,Transit Ephemeris,1,1,0.000000,4.810103,6.988800,,0.708217,0,08/22/2021 05:01,0.001072,,,,
HAT-P-68 b,07h53m55.96s,118.483150,23d56m17.59s,23.938219,,<a refstr=LINDOR_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201016026L/abstract target=ref>Lindor et al. 2020</a>,Transit Ephemeris,1,1,0.000000,2.298406,2.086800,,2.702597,0,08/19/2021 08:08,0.000781,,,,
HAT-P-69 b,08h42m01.35s,130.505639,03d42m38.04s,3.710566,,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,Transit Ephemeris,1,1,0.000000,4.786949,5.126400,0.762700,0.799662,0,08/21/2021 21:24,0.001078,,,,
HAT-P-9 b,07h20m40.44s,110.168516,37d08m26.14s,37.140595,,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,Transit Ephemeris,1,1,0.000000,3.922811,3.360000,1.144000,1.144619,0,08/20/2021 10:51,0.001416,,,,
HATS-1 b,11h42m06.06s,175.525240,-23d21m17.44s,-23.354845,,<a refstr=PENEV_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013AJ....145....5P/abstract target=ref> Penev et al. 2013 </a>,Transit Ephemeris,1,1,0.000000,3.446459,2.416800,,1.661492,0,08/19/2021 11:13,0.005590,,,,
HATS-10 b,19h37m13.64s,294.306839,-22d12m16.15s,-22.204487,,<a refstr=BRAHM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...33B/abstract target=ref>Brahm et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.312846,3.007200,,0.812071,0,08/19/2021 13:39,0.005452,,,,
HATS-11 b,19h17m36.18s,289.400760,-22d23m24.03s,-22.390009,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,Transit Ephemeris,0,1,0.000000,3.619163,4.368500,,1.092471,0,08/22/2021 01:56,0.001842,,,,
HATS-12 b,19h16m48.58s,289.202402,-19d21m21.32s,-19.355923,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>,Transit Ephemeris,0,1,0.000000,3.142835,4.523800,,2.022754,0,08/18/2021 17:20,0.001576,,,,
HATS-13 b,21h07m50.76s,316.961480,-26d05m48.19s,-26.096720,,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,Transit Ephemeris,1,1,0.000000,3.044050,2.634700,,1.971646,0,08/18/2021 17:57,0.003014,,,,
HATS-14 b,20h52m51.71s,313.215475,-25d41m14.55s,-25.687376,,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,Transit Ephemeris,1,1,0.000000,2.766764,2.642200,,1.309600,0,08/20/2021 04:07,0.003175,,,,
HATS-15 b,20h44m22.08s,311.092004,-19d26m15.10s,-19.437527,,<a refstr=CICERI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128g4401C/abstract target=ref>Ciceri et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.747488,2.269700,,1.516818,0,08/18/2021 19:33,0.001795,,,,
HATS-16 b,23h54m14.12s,358.558844,-30d00m46.94s,-30.013039,,<a refstr=CICERI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128g4401C/abstract target=ref>Ciceri et al. 2016</a>,Transit Ephemeris,1,1,0.000000,2.686502,2.620800,,1.164438,0,08/20/2021 07:36,0.011496,,,,
HATS-17 b,12h48m45.50s,192.189568,-47d36m49.24s,-47.613679,,<a refstr=BRAHM_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...89B/abstract target=ref>Brahm et al. 2016</a>,Transit Ephemeris,1,1,0.000000,16.254611,4.826400,,0.535628,0,08/20/2021 19:44,0.011766,,,,
HATS-18 b,11h35m49.78s,173.957420,-29d09m21.83s,-29.156064,,<a refstr=PENEV_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..127P/abstract target=ref>Penev et al. 2016</a>,Transit Ephemeris,0,1,0.000000,0.837843,1.892600,,1.814401,0,08/18/2021 14:01,0.001581,,,,
HATS-2 b,11h46m57.32s,176.738826,-22d33m46.83s,-22.563010,,<a refstr=MOHLER_FISCHER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...558A..55M/abstract target=ref> Mohler-Fischer et al. 2013 </a>,Transit Ephemeris,1,1,0.000000,1.354133,2.068800,,1.786504,0,08/19/2021 00:59,0.002668,,,,
HATS-22 b,11h36m02.37s,174.009869,-29d32m36.11s,-29.543364,,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,Transit Ephemeris,1,1,0.000000,4.722812,2.191200,,2.020311,0,08/22/2021 22:22,0.002830,,,,
HATS-23 b,19h05m28.02s,286.366750,-50d04m02.46s,-50.067350,,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,Transit Ephemeris,1,1,0.000000,2.160516,1.804800,,2.541314,0,08/18/2021 14:22,0.005641,,,,
HATS-4 b,06h16m26.90s,94.112091,-22d32m48.78s,-22.546882,,<a refstr=JORDAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....148...29J/abstract target=ref> Jordan et al. 2014 </a>,Transit Ephemeris,1,1,0.000000,2.516729,2.527200,,1.284067,0,08/18/2021 12:21,0.003250,,,,
HATS-40 b,06h42m17.10s,100.571247,-29d46m36.41s,-29.776780,,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,Transit Ephemeris,1,1,0.000000,3.264274,5.330400,,0.516141,0,08/20/2021 06:55,0.005414,,,,
